frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
33,12,574.519,413.859,472.608,245.363,1
33,6,1146.63,441.268,1060.46,300.191,0
33,7,525.482,121.953,474.565,57.3379,0
33,2,676.418,165.038,633.262,22.02,0
33,5,848.769,116.017,809.588,69.0014,0
33,10,166.998,413.897,104.397,323.753,0
33,8,972.228,196.463,927.18,69.0201,0
33,11,396.176,98.464,355.16,47.5045,0
33,9,382.536,5.35269,366.825,5.34695,0
33,13,458.904,104.375,417.785,63.2248,0
34,0,803.729,135.69,741,24.0635,0
34,4,280.66,161.139,223.859,39.6089,0
34,3,901.7,131.754,868.282,55.3013,0
34,5,848.756,116.058,807.578,68.9949,0
34,12,576.502,413.884,472.613,245.451,1
34,1,707.704,558.857,558.881,384.507,1
34,6,1146.62,441.264,1062.32,300.217,0
34,7,525.477,120.009,474.574,57.3349,0
34,2,678.286,163.093,633.272,22.0098,0
34,10,167.007,413.897,104.401,321.909,0
34,8,972.228,198.35,927.177,69.0187,0
34,11,396.185,98.4789,355.16,47.5058,0
34,9,382.536,5.3525,366.824,5.34676,0
34,13,458.927,104.331,417.793,65.1117,0
35,0,803.692,135.72,740.999,24.0655,0
35,4,280.653,161.1,223.858,39.609,0
35,12,560.79,411.926,472.632,245.425,1
35,3,901.696,131.747,868.29,55.307,0
35,1,711.741,558.887,558.816,384.446,1
35,5,848.75,116.067,805.742,68.954,0
35,7,525.482,119.996,474.572,57.3264,0
35,6,1146.62,441.266,1062.32,300.218,0
35,10,165.126,413.908,104.396,321.839,0
35,8,972.217,198.367,927.174,69.0197,0
35,2,676.401,157.224,631.377,22.0002,0
35,11,396.155,98.4561,355.158,47.5005,0
35,9,382.534,5.35281,366.827,5.34702,0
35,13,458.941,108.221,417.772,63.2248,0
36,0,799.86,135.693,739.111,24.0686,0
36,5,848.804,116.099,805.623,67.1317,0
36,4,280.664,161.142,223.858,39.6088,0
36,1,723.397,558.925,556.985,384.473,1
36,3,901.702,137.619,868.289,55.3088,0
36,12,554.964,411.903,472.628,245.442,1
36,7,525.484,121.956,474.548,57.328,0
36,6,1146.62,441.27,1060.46,300.228,0
36,2,676.389,147.407,633.25,22.0469,0
36,10,167.01,413.899,104.405,321.883,0
36,8,972.207,198.349,927.18,69.0192,0
36,11,396.169,98.4653,355.156,47.5099,0
36,9,382.535,5.35293,366.825,5.34726,0
36,13,458.915,104.383,417.773,63.2158,0
37,0,795.953,133.761,740.992,24.0613,0
37,1,725.399,560.794,556.963,384.48,1
37,4,280.645,159.195,223.867,39.6057,0
37,5,850.707,116.098,803.731,67.1205,0
37,7,525.483,147.444,474.557,57.3139,0
37,3,901.713,133.702,868.302,55.3012,0
37,6,1148.48,441.266,1062.32,302.114,0
37,12,547.11,411.852,472.627,245.442,1
37,2,676.362,133.738,633.241,23.9863,0
37,10,165.121,413.932,104.401,321.919,0
37,8,972.221,198.364,927.177,69.023,0
37,11,394.286,98.4557,355.131,47.508,0
37,13,458.865,104.325,417.782,61.2356,0
37,9,382.537,5.35217,366.828,5.34671,0
38,0,793.915,106.303,740.996,24.0671,0
38,1,727.299,558.919,558.854,384.406,1
38,4,278.721,159.18,223.866,39.6083,0
38,5,848.821,116.171,803.763,67.0747,0
38,3,901.702,131.804,868.307,55.3136,0
38,7,525.474,119.992,474.579,57.3236,0
38,6,1148.47,441.265,1062.32,302.138,0
38,12,547.065,411.856,472.618,245.472,1
38,2,676.363,137.645,631.342,23.9771,0
38,10,167.044,413.904,106.262,321.896,0
38,8,972.226,198.355,927.164,69.0264,0
38,11,394.3,98.462,355.149,47.5159,0
38,13,458.896,108.214,417.796,61.2273,0
38,9,382.536,5.35223,366.828,5.34671,0
39,0,791.916,131.798,740.992,24.0724,0
39,1,727.387,556.966,558.893,382.585,1
39,4,278.72,159.191,223.863,39.6092,0
39,5,850.676,116.157,805.629,67.0319,0
39,3,901.712,135.706,868.291,55.3109,0
